Date,Vendor,Amount,Description
2026-01-05,Home Depot,234.50,Building materials
2026-01-07,Lowe's,89.99,Paint supplies
2026-01-08,Shell Gas,45.00,Fuel
2026-01-12,Home Depot,567.23,Lumber
2026-01-13,Menards,190.00,Building materials
2026-01-13,Lowe's,27.99,Paint supplies
2026-01-14,Shell Gas,35.00,Fuel
2026-01-15,Home Depot,289.00,Lumber
2026-01-15,Home Depot,114.00,Building materials
2026-01-16,Lowe's,49.99,Paint supplies
2026-01-16,Shell Gas,45.00,Fuel
2026-01-16,Home Depot,422.99,Lumber
2026-01-17,Menards,694.99,Building materials
2026-01-18,Lowe's,109.99,Paint supplies
2026-01-19,Shell Gas,55.00,Fuel
2026-01-21,Home Depot,117.29,Lumber
2026-01-21,Home Depot,222.00,Building materials
2026-01-21,Lowe's,91.00,Paint supplies
2026-01-22,Shell Gas,20.00,Fuel
2026-01-22,Home Depot,107.00,Lumber
